Conference,Year,Name,Institution,Continent
IEEEcloud,2013,Jia Zhang,Carnegie Mellon University - Silicon Valley,NA
IEEEcloud,2013,Liang-Jie Zhang,Kingdee International Software Group,AS
IEEEcloud,2013,Nianjun (Joe) Zhou,IBM T.J. Watson Research Center,NA
IEEEcloud,2013,Wolf Zimmermann,Martin-Luther-Universit Halle-Wittenberg,EU
IEEEcloud,2014,Marco Aiello,University of Groningen,EU
IEEEcloud,2014,Mikio Aoyama,Nanzan University,AS
IEEEcloud,2014,Danilo Ardagna,Politecnico di Milano,EU
IEEEcloud,2014,Janaka L. Balasooriya,Arizona State University,NA
IEEEcloud,2014,Bhuvan Bamba,Oracle,NA
IEEEcloud,2014,Elisa Bertino,Purdue University,NA
IEEEcloud,2014,Viraj Bhat,Yahoo,NA
IEEEcloud,2014,Rajdeep Bhowmik,"Cisco Systems, Inc.",NA
IEEEcloud,2014,Brain Blake,University of Miami,NA
IEEEcloud,2014,Jiannong Cao,Hong Kong Polytechnic University,AS
IEEEcloud,2014,Simon Caton,Karlsruhe Institute of Technology,EU
IEEEcloud,2014,Haopeng Chen,Shanghai Jiao Tong University,AS
IEEEcloud,2014,Keke Chen,Wright State University,NA
IEEEcloud,2014,Yong Chen,Texas Tech University,NA
IEEEcloud,2014,Ludmila Cherkasova,HP,NA
IEEEcloud,2014,Malolan Chetlur,IBM India,AS
IEEEcloud,2014,Tzi-Cker Chiueh,Industrial Technology Research Institute,AS
IEEEcloud,2014,Steve Crago,Southern California University,NA
IEEEcloud,2014,Alfredo Cuzzocrea,ICAR-CNR & University of Calabria,EU
IEEEcloud,2014,Dilma Da Silva,Qualcomm Inc.,NA
IEEEcloud,2014,Ernesto Damiani,University of Milan,EU
IEEEcloud,2014,Noel De Palma,University Joseph Fourier,EU
IEEEcloud,2014,Robert van Engelen,Florida State University,NA
IEEEcloud,2014,Jose Fortes,University of Florida,NA
IEEEcloud,2014,Dennis Gannon,Microsoft Research,NA
IEEEcloud,2014,Yuqing Gao,IBM T.J. Watson Research Center,NA
IEEEcloud,2014,Dimitrios Georgakopoulos,CSIRO ICT Center,OC
IEEEcloud,2014,Claude Godart,Nancy University and INRIA,EU
IEEEcloud,2014,Karthik Gomadam,Accenture Technology Labs - Silicon Valley,NA
IEEEcloud,2014,Nils Gruschka,University of Applied Sciences,EU
IEEEcloud,2014,Vijay K. Gurbani,"Bell Laboratories, Alcatel-Lucent",NA
IEEEcloud,2014,Michael Head,Google,NA
